ID,address,city,country,name,postalCode,state
2968,11167 Lorraine Rd,Gulfport,US,McDonald's,39503,AL
2969,666 Harbor Blvd,Santa Ana,US,McDonald's,92704,CA
2970,758 E State St,Georgetown,US,Long John Silver's,45121,OH
2971,4401 McMasters Ave,Hannibal,US,Long John Silver's,63401,MO
2972,3960 N Newton St,Jasper,US,Long John Silver's,47546,IN
2973,15555 San Pablo Ave 174,San Pablo,US,KFC,94806,CA
2974,539 N H St,Lompoc,US,Jack in the Box,93436,CA
2975,946 East Liberty Street,York,US,Bojangles' Famous Chicken 'n Biscuits,29745,SC
2976,5402 Sunrise Boulevard,Citrus Heights,US,McDonald's,95610,CA
2977,3587 Riverdale Road,Memphis,US,Fazoli's,38115,TN
2978,5060 Central Ave NE,Minneapolis,US,KFC,55421,MN
2979,10220 W Colfax Ave 281,Denver,US,KFC,80215,CO
2980,2912 Hickory Hill Rd,Memphis,US,Burger King,38115,TN
2981,4650 Millbranch Rd,Memphis,US,Burger King,38116,TN
2982,3966 Park Ave,Memphis,US,Burger King,38111,TN
2983,524 Cox Rd,Gastonia,US,Arby's,28054,NC
2984,1624 J St,Modesto,US,Jack in the Box,95354,CA
2985,15050 Rogers Rd,Patterson,US,Jack in the Box,95363,CA
2986,200 Broadview Ave,Warrenton,US,KFC,20186,VA
2987,2251 Jacksboro Hwy,Fort Worth,US,KFC,76114,TX
2988,318 W 9th St,Mount Carmel,US,Long John Silver's,62863,IL
2989,701 Janette Dr,Vandalia,US,Long John Silver's,62471,IL
2990,33420 US Highway 19 N,Palm Harbor,US,KFC,34684,FL
2991,9 Byers Rts 119,New Stanton,US,McDonald's,15672,PA
2992,12118 Route 30,Irwin,US,McDonald's,15642,PA
2993,1410 N Expressway,Griffin,US,KFC,30223-1754,GA
2994,15506 Kutztown Rd,Kutztown,US,Arby's,19530,PA
2995,1021 Morrow Rd,Medford,US,Taco Delight,97504,OR
2996,1237 Paris Pike,Georgetown,US,Arby's,40324,KY
2997,1816 Memorial Blvd,Murfreesboro,US,KFC,37129,TN
2998,3802 S Holden Rd,Greensboro,US,Arby's,27406,NC
2999,1163 Jeffco Blvd,Arnold,US,Raising Cane's Chicken Fingers,63010,MO
3000,700 Park Street,Belmont,US,Arby's,28012,NC
3001,1635 Robb Dr,Reno,US,Jimmy John's,89523,NV
3002,2500 Golden Hill Rd,Paso Robles,US,Jack in the Box,93446,CA
3003,1111 Lincoln Way East,Massillon,US,Arby's,44647,OH
3004,226 W Main St,Pomeroy,US,KFC,45769,OH
3005,2205 Old Fort Pkwy,Murfreesboro,US,KFC,37129,TN
3006,1521 Bell Drive,Atwater,US,McDonalds,95301,CA
